,price_perc-2w,price_perc-4w,price_perc-6w,price_perc-8w,production_tons-1m_sum,production_tons-12m_sum,production_tons-3m_sum,production_tons-6m_sum,production_tons-9m_sum,tmin,tmax,tmed,prec,racha,prec-4w_sum,prec-13w_sum,prec-26w_sum,prec-52w_sum,tmed-4w_mean,freeze_damage,week_nr,increase
20,-0.002554132357426186,-0.0052992943290141375,-0.0009607878304025365,-0.011853470792921388,178797.44,527600.31,186621.16999999998,186822.83999999997,187372.46999999997,0.0,27.1,11.710344827586209,0.1,15.8,116.0,354.29999999999984,354.29999999999984,1307.3999999999996,12.54918981481481,0.0,12,1.0
22,0.002789986623351923,-0.002912884017843978,-0.009322659407982391,0.0019092714220254841,178797.44,527600.31,186621.16999999998,186822.83999999997,187372.46999999997,3.7,32.3,15.727272727272727,0.0,16.4,86.39999999999999,351.4999999999999,351.4999999999999,1204.5999999999995,12.02029454022988,0.0,13,-1.0
25,-0.002362984983611634,-0.002134797194266648,-0.004881113256498111,-0.0005407828109541673,178797.44,527600.31,186621.16999999998,186822.83999999997,187372.46999999997,2.2,28.7,13.217241379310343,399.9000000000001,22.8,77.1,254.4999999999999,254.4999999999999,1043.4999999999995,13.367737722048062,0.0,14,1.0
27,0.014062321308492779,0.014488642177378485,0.008719241235530927,0.002234688718109461,211498.62000000002,528690.66,397008.9,398278.05,398141.36,4.5,26.6,13.34642857142857,252.6,20.6,460.8000000000001,640.4,640.4,1326.1999999999996,13.047048066875647,0.0,15,-1.0
28,-0.04950612581072586,-0.03841756231420078,-0.03819762122598355,-0.04084468549287307,211498.62000000002,528690.66,397008.9,398278.05,398141.36,4.8,31.3,16.06190476190476,28.6,17.8,652.6000000000001,877.8,877.8,1562.2999999999995,13.500321876399457,0.0,16,-1.0
30,-0.025128814902893253,-0.06036063569682132,-0.059965602904643374,-0.06531158225866633,211498.62000000002,528690.66,397008.9,398278.05,398141.36,7.6,30.0,18.150000000000002,0.0,13.1,681.1000000000001,906.4,906.4,1543.9999999999993,14.588211859979094,0.0,17,-1.0
33,-0.02260530167506933,-0.09433718844589185,-0.08377162893513233,-0.08356206160414771,211498.62000000002,528690.66,397008.9,398278.05,398141.36,7.6,29.9,17.787499999999998,97.80000000000001,15.0,681.1000000000001,906.4,906.4,1383.9999999999993,15.193893678160913,0.0,18,1.0
34,0.05322963676348672,0.0035529317397629263,-0.03271544667656553,-0.03230879159968578,88651.22999999998,523186.31,478947.29,486879.6699999999,486993.13999999996,8.2,21.4,15.5,30.3,13.6,379.0,988.3000000000001,988.3000000000001,1481.7999999999993,16.33645833333333,0.0,19,-1.0
36,-0.040231237449437685,-0.011993820133355228,-0.08450449319565799,-0.07382422440734819,88651.22999999998,523186.31,478947.29,486879.6699999999,486993.13999999996,7.7,29.7,17.48095238095238,27.1,16.1,156.70000000000002,1018.6,1018.6,1512.0999999999992,16.874851190476186,0.0,20,-1.0
39,-0.01205711699107037,-0.0013311148086522845,-0.04843440348791134,-0.08282396088019564,88651.22999999998,523186.31,478947.29,486879.6699999999,486993.13999999996,6.3,25.6,15.842857142857142,47.60000000000001,15.8,155.20000000000002,952.4000000000001,952.4000000000001,1484.999999999999,17.22961309523809,0.0,21,-1.0
40,-0.011037987337554137,-0.06226946507394756,-0.034680435843226776,-0.10552611752374422,88651.22999999998,523186.31,478947.29,486879.6699999999,486993.13999999996,10.7,28.6,19.238888888888894,0.1,11.1,202.8,970.3000000000001,970.3000000000001,1532.599999999999,16.652827380952374,0.0,22,1.0
42,0.0034115318199049063,-0.01962882185918269,-0.008985024958402596,-0.05572730875941342,9434.409999999974,496956.73,309584.25999999995,496205.42999999993,496407.0999999999,8.2,37.4,21.514285714285716,14.1,16.1,105.1,961.1000000000001,961.1000000000001,1529.099999999999,17.0156746031746,0.0,23,1.0
44,0.008182272592733514,0.00045545077679464086,-0.05137142477198255,-0.023461763609965866,9434.409999999974,496956.73,309584.25999999995,496205.42999999993,496407.0999999999,13.3,41.1,25.295238095238098,0.0,13.1,88.89999999999999,959.0000000000001,959.0000000000001,1538.7999999999988,18.51924603174603,0.0,24,-1.0
47,-0.013151518071214853,-0.001682642816085215,-0.024606023965364057,-0.014016264075803322,9434.409999999974,496956.73,309584.25999999995,496205.42999999993,496407.0999999999,16.3,42.7,28.644444444444446,0.0,13.1,61.79999999999999,898.2000000000002,898.2000000000002,1537.9999999999989,20.472817460317458,0.0,25,-1.0
49,-0.0010567843658176993,-0.006128274009402354,-0.013745418193935321,-0.06483664212698184,9434.409999999974,496956.73,309584.25999999995,496205.42999999993,496407.0999999999,14.2,41.2,27.97142857142857,0.0,15.6,14.199999999999982,898.1000000000001,898.1000000000001,1537.9999999999989,23.673214285714284,0.0,26,1.0
50,0.011445223414139666,-0.0029116388305735355,0.008676241418523335,-0.0144850006172586,9434.409999999974,496956.73,309584.25999999995,496205.42999999993,496407.0999999999,14.0,39.3,26.203846153846158,0.0,12.5,14.099999999999982,898.1000000000001,898.1000000000001,1537.9999999999989,25.856349206349204,0.0,27,-1.0
52,-0.009311453505365564,0.0009682715658674053,-0.004113498992612597,-0.011746084638453851,231.42999999999302,496458.43,98317.06999999992,495325.9699999999,496595.11999999994,13.2,42.6,25.816,20.1,16.1,-1.7763568394002505e-14,498.20000000000005,498.20000000000005,1537.9999999999989,27.028739316239314,0.0,28,-1.0
54,-0.006406473910477813,-0.004392262860038746,-0.01852432142435747,-0.007117887377332138,231.42999999999302,496458.43,98317.06999999992,495325.9699999999,496595.11999999994,19.1,41.4,28.633333333333333,0.0,10.8,20.099999999999984,265.70000000000005,265.70000000000005,1555.8999999999987,27.158929792429788,0.0,29,1.0
56,0.003181471112242233,-0.012526619065514137,-0.0022802556578774306,-0.007345533915379479,231.42999999999302,496458.43,98317.06999999992,495325.9699999999,496595.11999999994,17.9,37.3,27.628571428571426,0.0,11.1,20.099999999999984,237.10000000000005,237.10000000000005,1555.8999999999987,27.156152014652008,0.0,30,1.0
59,0.019449475737076293,0.01614096989404531,0.018200889082951185,0.0037481341896464233,231.42999999999302,496458.43,98317.06999999992,495325.9699999999,496595.11999999994,15.5,39.8,29.26875,0.0,13.9,20.099999999999984,237.10000000000005,237.10000000000005,1555.8999999999987,27.070437728937723,0.0,31,-1.0
60,-0.017342871859464246,0.004956394182519336,-0.010779488226701977,-0.0005149959886169825,97.85000000003492,496756.83,9763.689999999973,488710.9799999999,496643.3599999999,13.4,39.1,27.184000000000005,0.1,11.9,20.099999999999984,139.30000000000004,139.30000000000004,1547.8999999999987,27.836663690476183,0.0,32,-1.0
62,-0.0067892072477282435,-0.005031925239967779,-0.008260979516142467,-0.006250527916209014,97.85000000003492,496756.83,9763.689999999973,488710.9799999999,496643.3599999999,13.5,40.3,27.711111111111105,0.0,11.1,0.09999999999998366,109.10000000000004,109.10000000000004,1547.9999999999986,28.178663690476185,0.0,33,-1.0
64,-0.00960475988100305,-0.0333884427178387,-0.01145329600407234,-0.02693223099085548,97.85000000003492,496756.83,9763.689999999973,488710.9799999999,496643.3599999999,15.8,40.4,27.447619047619046,0.0,13.9,0.09999999999998366,82.00000000000003,82.00000000000003,1547.7999999999986,27.94810813492063,0.0,34,-1.0
66,-0.006994507380707262,-0.023209054182731958,-0.021480823713476333,-0.024656494984405294,97.85000000003492,496756.83,9763.689999999973,488710.9799999999,496643.3599999999,14.1,36.6,23.31904761904762,12.899999999999999,11.9,0.09999999999998366,34.40000000000002,34.40000000000002,1546.3999999999985,27.902870039682533,0.0,35,1.0
68,0.008599455511862171,-0.008074798130046803,-0.03189522198053359,-0.009926189870196014,-113.65000000002328,496622.73,215.62999999997555,309799.8899999999,496421.05999999994,10.3,37.4,23.376470588235293,24.900000000000002,12.8,12.999999999999982,47.20000000000002,47.20000000000002,1559.2999999999986,26.415444444444436,0.0,36,-1.0
71,-0.00047129391602403637,0.001072777205629912,-0.015273498337537375,-0.013531227536048048,-113.65000000002328,496622.73,215.62999999997555,309799.8899999999,496421.05999999994,10.2,35.8,23.016666666666666,1.3,11.4,37.79999999999998,58.00000000000002,58.00000000000002,1538.9999999999986,25.463562091503256,0.0,37,-1.0
72,-0.0035561935914918265,0.004539024229898824,-0.01206810201002614,-0.0357926293243572,-113.65000000002328,496622.73,215.62999999997555,309799.8899999999,496421.05999999994,11.4,31.5,20.352631578947367,90.29999999999998,14.4,39.09999999999998,59.30000000000002,59.30000000000002,1510.4999999999986,24.289950980392145,0.0,38,-1.0
75,-0.008347124072467323,-0.012339331619537248,-0.010813594232749696,-0.026965780088169657,-113.65000000002328,496622.73,215.62999999997555,309799.8899999999,496421.05999999994,6.8,24.9,17.900000000000002,0.2,11.9,129.39999999999998,149.6,149.6,1597.6999999999987,22.516204113224227,0.0,39,-1.0
76,-0.013925039042165643,-0.02563333190449658,-0.017717471155092663,-0.03395665108372303,-113.65000000002328,496622.73,215.62999999997555,309799.8899999999,496421.05999999994,9.1,26.5,17.923076923076923,16.3,25.0,116.69999999999996,149.79999999999998,149.79999999999998,1585.3999999999987,21.161442208462322,0.0,40,-1.0
78,-0.001615568789193687,-0.02373570344770076,-0.027665959475028423,-0.026163898650324535,401.8500000000349,496981.17000000004,386.05000000001746,98703.11999999991,495712.01999999996,6.0,25.9,18.192857142857143,63.9,8.9,108.09999999999997,166.1,166.1,1601.5999999999988,19.79809379217273,0.0,41,1.0
80,0.011796960968467754,-0.0039042165538783363,-0.01573149299155565,-0.007735188626247797,401.8500000000349,496981.17000000004,386.05000000001746,98703.11999999991,495712.01999999996,10.8,24.8,17.271428571428572,36.3,12.5,170.69999999999996,209.9,209.9,1664.7999999999988,18.59214141122035,0.0,42,-1.0
82,-0.011802107830328326,-0.0017597114073291996,-0.023876652452210587,-0.027806341045415673,401.8500000000349,496981.17000000004,386.05000000001746,98703.11999999991,495712.01999999996,3.8,22.2,12.328571428571427,112.00000000000001,25.3,116.69999999999996,246.2,246.2,1680.7999999999988,17.82184065934065,0.0,43,1.0
84,0.0012780397514432606,0.0011334793660651228,-0.014402221065417465,-0.0261048480432081,401.8500000000349,496981.17000000004,386.05000000001746,98703.11999999991,495712.01999999996,4.2,18.0,9.87857142857143,28.5,11.7,228.5,358.2,358.2,1792.7999999999988,16.428983516483505,0.0,44,-1.0
86,-0.006117957746478689,-0.016592631303893206,-0.006598917777484352,-0.028608641709195897,12.190000000002328,496943.75,300.38999999998487,10064.079999999929,489011.36999999994,2.1,20.3,11.063636363636364,0.4,8.3,240.7,386.7,386.7,1821.2999999999988,14.417857142857134,0.0,45,-1.0
